review_id,tanggal,username,review,clean_text,nama_produk,variasi_produk,link_gambar,file_gambar,rating,sentiment,sentiment_numeric
A000044,Tidak ada tanggal,Armando,kalo soal kemeja top dah erigo. 🤝,kalo kemeja top dah erigo,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: Jazlyn Black - M,"https://images.tokopedia.net/img/cache/200-square/bjFkPX/2025/4/7/bdc11441-ee70-4d91-a2be-af6ef52b29a7.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2025/4/7/6d8a95fe-f958-4f2c-a66a-d2c3686a6c77.jpg.webp?ect=4g",A000044.jpg,5,Positive,1
A000114,Tidak ada tanggal,i***7,"Bahannya adem ya, halus lagi XL ny besar bgtz semoga pas di pakai nantinya... trimakasih Erigo gx ngecewain...",bahan adem halus bgtz moga pas pakai trimakasih erigo ngecewain,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: XL,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/8fd8be64709a49bda15d27475247a728.webp?ect=4g,A000114.jpg,5,Positive,1
A000202,Tidak ada tanggal,E***h,"Bahannya enak banget, adem. Oversized dikit buat BB 83kg TB 172cm.",bahan enak banget adem oversized dikit,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Tidak ada variasi,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/10/28/7f0ec317-a1c1-406a-9ac8-2f9f70d6b045.jpg.webp?ect=4g,A000202.jpg,5,Positive,1
A000224,Tidak ada tanggal,jihat,bahan adem dan nyaman ini keren sih,bahan adem nyaman keren sih,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: Jazlyn Black - XL,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/8/30/6061dda1-c1e4-4a2d-b374-156a68f7d07e.jpg.webp?ect=4g,A000224.jpg,5,Positive,1
A000242,Tidak ada tanggal,wahyu,"Tinggi badan 165, berat badan 75, serasa memakai kemeja oversized, tapi karena bahannya jatuh jadi bagus2 aja. mungkin bakal coba yang ukuran M selanjutnya.",badan berat badan serasa pakai kemeja oversized bahan jatuh bagus aja coba ukur,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: Jazlyn Black - L,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/7/29/b7a862e0-37d1-46a1-a699-fc7f9455cb6a.jpg.webp?ect=4g,A000242.jpg,5,Positive,1
A000251,Tidak ada tanggal,arip,Ukurannya pas Tinggi badan 171,ukur pas badan,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: Jazlyn Black - L,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/7/11/b769bf25-7364-4ee2-bf55-73ab3c651b75.jpg.webp?ect=4g,A000251.jpg,5,Positive,1
A000384,Tidak ada tanggal,A***n,"Ukurannya pas, bahan nyaman, hanya saja sayangnya minus kantong :(",ukur pas bahan nyaman sayang minus kantong,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: Jazlyn Black - M,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/4/5/cbe04069-cc55-4102-91e7-1a856ed3dfe7.jpg.webp?ect=4g,A000384.jpg,5,Positive,1
A000468,Tidak ada tanggal,M***d,"pas sesuai ukuran badan saya Tb: 174 cm, Bb: 83 kg. bahannya halus dan agak licik tapi mungkin emang modelnya begitu. top",pas sesuai ukur badan bahan halus licik emang model top,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: Jazlyn Black - XL,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/3/6/67c79a8e-fe74-48cc-92cb-bc9c3fb230cb.jpg.webp?ect=4g,A000468.jpg,5,Positive,1
A000475,Tidak ada tanggal,a***l,Ukurannya pas Berat badan 60 - 70 kg Tinggi badan 171 - 180 cm,ukur pas berat badan badan,Erigo Short Shirt Jazlyn Black - Kemeja Lengan Pendek Rayon Unisex,Varian: Jazlyn Black - XL,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/3/2/f7387008-aac1-48d2-91ec-b33ee3f49bb4.jpg.webp?ect=4g,A000475.jpg,5,Positive,1
AA000147,Tidak ada tanggal,B***r,"Bagus banget, BB 65 masih longgar.",bagus banget longgar,Baju Kaos Barong Bali Pria Wanita Santai Rayon Kancing Motif Tie Dye Oversize Pendek Pantai Dewasa Kancing,Varian: Abu - DEWASA,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/6f2974302c284803948ac35072a67528.webp?ect=4g,AA000147.jpg,5,Positive,1
AA000358,Tidak ada tanggal,T***S,Paket dah sampai terimakasih baju Bali Bagus,paket dah terimakasih baju bal bagus,Baju Kaos Barong Bali Pria Wanita Santai Rayon Kancing Motif Tie Dye Oversize Pendek Pantai Dewasa Kancing,Varian: Hitam - DEWASA,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/dc443ec8bf144bf082199b29666ca7d8.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/147a0be7b9d44e4a86678e76962a85a1.webp?ect=4g",AA000358.jpg,5,Positive,1
AA000368,Tidak ada tanggal,ð***§,"Bagus bngt bajunya realpict,bahanya adem dan lembut..aku BB 60 ld 95 ambil UK dewasa pas dan nyaman dipakai msh longgar 
Pkonya suka bngt sama bajunya🫶🏻🥰",bagus bngt baju realpictbahanya adem lembutaku ambil dewasa pas nyaman pakai msh longgar pkonya suka bngt baju,Baju Kaos Barong Bali Pria Wanita Santai Rayon Kancing Motif Tie Dye Oversize Pendek Pantai Dewasa Kancing,Varian: Pink - DEWASA,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/f0b149c685cb466998ff8f7d2f4c7eb0.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/53de2f54169a470ab4c074de2e49b158.webp?ect=4g",AA000368.jpg,5,Positive,1
AD000181,Tidak ada tanggal,E***a,Ukurannya pas Berat badan < 60 kg sesuai,ukur pas berat badan sesuai,3Second Kaos Pria Lengan Pendek Katun Regular Fit OL-C360723,Varian: Blue - L,https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/4/15/179a66f5-682b-4bbd-9156-d5f2913b35fc.jpg.webp?ect=4g,AD000181.jpg,5,Positive,1
AE000023,Tidak ada tanggal,Z***k,"Kualitas produk: Bagus,sesuai ekspetasi mantapp",kualitas produk bagussesuai ekspetasi mantapp,Jaket Pria Crewneck Regular Fit Fleece 3SCO On The Box OL-C010425,Varian: Grey - M,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/9639eaebc0dc41cea4c8cfb265a53967.webp?ect=4g,AE000023.jpg,5,Positive,1
AG000046,Tidak ada tanggal,V***t,Bagus cm ga terlalu kenceng jahitan nya,bagus kenceng jahit nya,Lumina Piyama ^^ One Set Baju Celana Pendek Rayon Twill Setelan Wanita Atasan Panjang Atasan Panjang Tidur daster remaja Dewasa Tangan,Varian: Beige,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/066844a4272f4448a0244a804c965866.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/c2de03e56d9b45a29752b9acab9b9e8c.webp?ect=4g",AG000046.jpg,4,Positive,1
AG000171,Tidak ada tanggal,R***j,Bagusss adem kain nya tp warna pink nya di real life kyk kusam 😌,bagusss adem kain nya warna pink nya real life kyk kusam,Lumina Piyama ^^ One Set Baju Celana Pendek Rayon Twill Setelan Wanita Atasan Panjang Atasan Panjang Tidur daster remaja Dewasa Tangan,Varian: Pink,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/bcacb865a28b40dd9ff57acd686946c0.webp?ect=4g,AG000171.jpg,5,Positive,1
AG000193,Tidak ada tanggal,I***e,"Sukaa bangettt... 10/10
Warna cantik bahan adem nyamab",sukaa bangettt warna cantik bahan adem nyamab,Lumina Piyama ^^ One Set Baju Celana Pendek Rayon Twill Setelan Wanita Atasan Panjang Atasan Panjang Tidur daster remaja Dewasa Tangan,Varian: Lilac,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/6c448383b1ad4a5e87099f8a141fe30c.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/787fd3f6a3c54defababab0f1c3ef4d8.webp?ect=4g",AG000193.jpg,5,Positive,1
AG000244,Tidak ada tanggal,R***n,Bagus banget.. cuman rada mehong dikit yaa.. mau ambil warna lain putih maunya. Tapi sttock habis. Dan gak bisa preorder,bagus banget cuman rada mehong dikit yaa ambil warna putih mau sttock habis gak preorder,Lumina Piyama ^^ One Set Baju Celana Pendek Rayon Twill Setelan Wanita Atasan Panjang Atasan Panjang Tidur daster remaja Dewasa Tangan,Varian: Lilac,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/efef68f4973a48e290bd596bc159e41f.webp?ect=4g,AG000244.jpg,5,Positive,1
AN000095,Tidak ada tanggal,R***j,Kualitas produk: Produk bagus ga usah ragu ya oder brng d toko ini,kualitas produk produk bagus ragu oder brng toko,kaos pria keren/kaos pria terbaru/kaos full print Santai Nyaman,Varian: putih - L,"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/440107812d3543e7b44d22d71ceeb366.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/8effa42ef6b040e0a7d8dd54034b2dff.webp?ect=4g",AN000095.jpg,5,Positive,1
AO000102,Tidak ada tanggal,Ida,ukurannya pas sm anakku yg BBnya 75 kg...bahannya adem...gbrnya bagus...hya sayang sablonannya cepat mengelupas jika menempel dgn yg lain,ukur pas anak bbnya kgbahannya ademgbrnya bagushya sayang sablon cepat kelupas tempel dgn,Baju Kaos Pria Lengan Pendek Spirit T-Shrt Distro Keren,Varian: Navy - XXL,"https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/1/31/ad1d1c78-6687-4043-9d38-8931e3766c61.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/1/31/a1e3b2b8-2bc7-4e38-a9c0-7453f91b8c6a.jpg.webp?ect=4g",AO000102.jpg,4,Positive,1
